User,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Output1,Output2,Feature10,Feature11
1175001.0,0.01809954751131222,352.5822222222222,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175007.0,0.01932367149758454,352.5511111111112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175009.0,0.08333333333333333,0.02861111111111111,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1175021.0,0.0,352.47694444444437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175029.0,0.03787878787878788,352.445,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175037.0,0.011764705882352941,352.4036111111112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175044.0,0.03787878787878788,352.3672222222222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175056.0,0.03980099502487562,352.31138888888887,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175057.0,0.02127659574468085,352.3036111111112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175063.0,0.02922077922077922,352.27083333333326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175072.0,0.03980099502487562,352.23666666666674,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175078.0,0.01809954751131222,352.21666666666664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175092.0,0.03571428571428571,352.1658333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175095.0,0.01932367149758454,352.15277777777777,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175108.0,0.02922077922077922,352.09722222222223,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175109.0,0.0367816091954023,352.0966666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175118.0,0.02127659574468085,352.06305555555565,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175129.0,0.020202020202020204,352.02416666666664,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175134.0,0.03571428571428571,351.9836111111112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175145.0,0.02127659574468085,0.075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1175149.0,0.01809954751131222,351.9116666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175157.0,0.05,351.88583333333327,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175173.0,0.016393442622950817,351.8486111111112,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175177.0,0.014705882352941175,351.8380555555556,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175182.0,0.0367816091954023,351.82444444444445,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175184.0,0.006711409395973154,330.90416666666664,15.0,36.31680257833737,1.0,1.0,0.04083333333333333,0.43916666666666665,0.0,1.0,0.0,1.0,1.0
1175195.0,0.0367816091954023,351.76805555555563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175200.0,0.02286927040440184,351.7533333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175203.0,0.011627906976744186,351.74888888888887,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175204.0,0.011764705882352941,351.7466666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175221.0,0.011764705882352941,351.68166666666673,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175223.0,0.01809954751131222,0.04111111111111111,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1175234.0,0.017241379310344827,351.5930555555556,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175241.0,0.006711409395973154,0.15416666666666667,1.0,50.0,0.0,1.0,0.05861111111111113,0.0,0.0,1.0,0.0,1.0,0.0
1175245.0,0.015706806282722512,351.5502777777778,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175262.0,0.01932367149758454,0.3819444444444444,5.0,37.111111111111114,0.0,1.0,0.14166666666666666,0.0,0.0,1.0,0.0,1.0,0.0
1175269.0,0.02127659574468085,351.45388888888886,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175285.0,0.0367816091954023,351.335,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175289.0,0.004608294930875576,351.31888888888886,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175293.0,0.03980099502487562,351.3025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175295.0,0.03980099502487562,351.2922222222222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175303.0,0.08333333333333333,351.2469444444445,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175308.0,0.004608294930875576,351.22083333333336,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175309.0,0.005714285714285714,351.2136111111112,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175310.0,0.005714285714285714,351.21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175318.0,0.01932367149758454,351.1783333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175340.0,0.004608294930875576,351.07861111111123,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175348.0,0.0367816091954023,351.0488888888889,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175349.0,0.07272727272727272,351.0486111111112,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175352.0,0.03980099502487562,351.04416666666674,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175353.0,0.03787878787878788,351.04166666666674,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175378.0,0.05263157894736842,350.9222222222222,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175393.0,0.0,350.8083333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175402.0,0.015267175572519085,350.75416666666666,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175409.0,0.005714285714285714,350.705,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175410.0,0.014705882352941175,350.69916666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175411.0,0.07272727272727272,0.10527777777777778,1.0,70.0,1.0,1.0,0.03083333333333333,0.0,0.0,1.0,0.0,1.0,0.0
1175413.0,0.0367816091954023,350.69333333333327,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175415.0,0.01932367149758454,350.6775,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175418.0,0.0,4.0536111111111115,13.0,43.74847374847376,1.0,1.0,0.9313888888888888,0.0,0.0,1.0,0.0,1.0,0.0
1175421.0,0.038461538461538464,350.64,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175428.0,0.015267175572519085,350.60444444444437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175429.0,0.03980099502487562,350.60166666666674,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175437.0,0.011764705882352941,350.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175440.0,0.015706806282722512,350.5511111111112,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175442.0,0.03980099502487562,350.54305555555555,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175443.0,0.0367816091954023,350.5397222222222,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175455.0,0.020202020202020204,350.4588888888888,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175457.0,0.011627906976744186,350.45361111111123,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175460.0,0.02097902097902098,350.4158333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175466.0,0.01951219512195122,350.39,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175480.0,0.01932367149758454,350.355,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175487.0,0.01809954751131222,350.3302777777778,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175495.0,0.015267175572519085,350.3008333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175506.0,0.02127659574468085,350.24361111111125,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175513.0,0.015267175572519085,119.82583333333334,4.0,54.45542046605876,1.0,1.0,0.2513888888888889,0.0,0.0,1.0,1.0,1.0,0.0
1175515.0,0.02922077922077922,350.22777777777776,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175518.0,0.02922077922077922,47.39305555555556,21.0,25.557646226339234,0.0,1.0,0.22861111111111115,1.5841666666666665,0.0,1.0,0.0,1.0,1.0
1175523.0,0.005714285714285714,350.1977777777778,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175524.0,0.01951219512195122,350.19555555555564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175526.0,0.01809954751131222,0.09472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1175528.0,0.02922077922077922,350.1794444444445,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175531.0,0.038461538461538464,23.47722222222223,12.0,56.944444444444436,1.0,1.0,3.769444444444444,0.0,0.0,1.0,0.0,1.0,0.0
1175545.0,0.011764705882352941,350.1277777777778,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175546.0,0.02922077922077922,350.1202777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175548.0,0.03571428571428571,350.11166666666674,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
